1.55809e+09 [393, 67]
 [332, 51]
 [392, 33]
 [346, 19]
 [121, 335]
 [145, 299]
 [124, 301]
 [603, 223]
 [564, 213]
 [619, 204]
 [552, 204]
 [131, 395]
 [120, 395]
 [127, 352]
 [212, 67]
 [174, 60]
 [286, 156]
 [246, 175]
 [309, 132]
 [270, 134]
 [312, 238]
 [279, 237]
 [318, 194]
 [268, 208]
 [381, 115]
 [348, 102]
 [369, 97]
 [227, 351]
 [193, 351]
 [235, 322]
 [196, 296]
 [310, 404]
 [262, 380]
 [266, 378]
 [80, 337]
 [35, 343]
 [86, 298]
 [44, 309]
 [392, 452]
 [321, 444]
 [336, 433]
 [206, 100]
 [204, 100]
 [209, 94]
 [202, 91]
 [444, 402]
 [410, 407]
 [470, 372]
 [410, 364]
 [532, 380]
 [507, 382]
 [528, 379]
 [507, 377]
 [78, 442]
 [26, 442]
 [25, 421]
 [86, 45]
 [36, 63]
 [62, 41]
 [33, 34]
 [284, 453]
 [249, 455]
 [309, 414]
 [267, 409]
 [518, 108]
 [497, 122]
 [537, 76]
 [461, 444]
 [406, 454]
 [471, 434]
 [413, 408]
 [367, 325]
 [341, 341]
 [363, 318]
 [344, 309]
 [243, 180]
 [188, 166]
 [239, 132]
 [200, 130]
 [227, 271]
 [192, 294]
 [227, 251]
 [181, 251]
 [518, 158]
 [475, 180]
 [515, 153]
 [502, 128]
 [288, 107]
 [251, 125]
 [304, 79]
 [264, 75]
 [132, 52]
 [101, 47]
 [161, 41]
 [97, 29]
 [80, 272]
 [21, 286]
 [82, 246]
 [24, 263]
 [522, 327]
 [489, 342]
 [513, 316]
 [485, 300]
 [373, 212]
 [331, 218]
 [385, 205]
 [326, 210]
 [528, 449]
 [494, 443]
 [547, 409]
 [498, 408]
 [361, 406]
 [377, 362]
 [334, 374]
 [283, 270]
 [244, 283]
 [283, 265]
 [244, 249]
 [465, 103]
 [426, 121]
 [470, 97]
 [422, 95]
 [531, 219]
 [493, 238]
 [526, 200]
 [482, 195]
 [512, 46]
 [500, 62]
 [521, 31]
 [486, 36]
 [438, 230]
 [432, 223]
 [443, 196]
 [407, 195]
 [57, 233]
 [28, 231]
 [86, 205]
 [43, 186]
 [58, 402]
 [31, 397]
 [55, 376]
 [35, 373]
 [369, 294]
 [356, 286]
 [391, 263]
 [325, 247]
 [461, 289]
 [425, 293]
 [462, 248]
 [404, 267]
 [144, 169]
 [93, 163]
 [133, 136]
 [119, 134]
 [605, 400]
 [549, 389]
 [615, 355]
 [573, 367]
 [531, 291]
 [472, 287]
 [532, 262]
 [489, 241]
 [589, 277]
 [567, 294]
 [617, 249]
 [574, 263]
 [462, 349]
 [397, 346]
 [454, 296]
 [427, 301]
 [63, 167]
 [24, 182]
 [62, 134]
 [45, 139]
 [75, 105]
 [44, 115]
 [38, 74]
 [586, 100]
 [576, 122]
 [619, 75]
 [574, 98]
 [138, 117]
 [106, 123]
 [158, 73]
 [111, 76]
 [607, 329]
 [574, 335]
 [611, 303]
 [578, 318]
 [463, 176]
 [416, 156]
 [458, 143]
 [430, 153]
 [299, 347]
 [264, 334]
 [289, 316]
 [259, 322]
 [609, 65]
 [575, 48]
 [620, 33]
 [552, 20]
 [381, 170]
 [323, 172]
 [384, 146]
 [351, 146]
 [592, 450]
 [562, 449]
 [611, 434]
 [553, 422]
 [146, 293]
 [122, 446]
 [233, 456]
 [232, 361]
 [440, 56]
 [579, 132]
 [244, 71]
 [131, 186]
 [228, 216]
 [222, 120]
 [208.8, 93.60001]
 [202.8, 99.60001]
 [309.6, 404.4]
 [261.6, 380.4]
 [303.6, 363.6]
 [266.4, 369.6]
 [228, 216]
 [244.8, 208.8]
 [92.4, 48]
 [57.6, 42]
 [32.4, 33.6]
 [283.2, 270]
 [280.8, 272.4]
 [292.8, 261.6]
 [282, 265.2]
 [594, 124.8]
 [553.2, 103.2]
 [600, 80.4]
 [573.6, 98.4]
 [339.6, 390]
 [376.8, 362.4]
 [354, 352.8]
 [460.8, 444]
 [405.6, 453.6]
 [411.6, 408]
 [319.2, 126]
 [247.2, 122.4]
 [303.6, 81.60001]
 [272.4, 75.60001]
 [613.2, 282]
 [578.4, 289.2]
 [600, 240]
 [573.6, 262.8]
 [163.2, 56.4]
 [100.8, 46.8]
 [81.60001, 331.2]
 [34.8, 343.2]
 [85.2, 298.8]
 [44.4, 308.4]
 [391.2, 452.4]
 [333.6, 434.4]
 [361.2, 405.6]
 [333.6, 428.4]
 [386.4, 212.4]
 [331.2, 217.2]
 [381.6, 186]
 [325.2, 210]
 [525.6, 444]
 [470.4, 434.4]
 [519.6, 430.8]
 [498, 408]
 [459.6, 238.8]
 [424.8, 232.8]
 [442.8, 195.6]
 [398.4, 194.4]
 [283.2, 451.2]
 [248.4, 454.8]
 [308.4, 414]
 [266.4, 409.2]
 [508.8, 124.8]
 [502.8, 127.2]
 [535.2, 86.4]
 [247.2, 169.2]
 [308.4, 132]
 [268.8, 134.4]
 [242.4, 180]
 [187.2, 174]
 [613.2, 338.4]
 [568.8, 328.8]
 [609.6, 302.4]
 [577.2, 318]
 [531.6, 380.4]
 [499.2, 402]
 [540, 373.2]
 [506.4, 376.8]
 [226.8, 349.2]
 [237.6, 319.2]
 [175.2, 301.2]
 [608.4, 64.8]
 [573.6, 48]
 [585.6, 44.4]
 [578.4, 33.6]
 [78, 441.6]
 [25.2, 441.6]
 [58.8, 421.2]
 [25.2, 420]
 [376.8, 102]
 [345.6, 102]
 [369.6, 98.4]
 [606, 400.8]
 [548.4, 388.8]
 [614.4, 354]
 [579.6, 366]
 [462, 349.2]
 [397.2, 345.6]
 [453.6, 296.4]
 [428.4, 301.2]
 [444, 404.4]
 [404.4, 402]
 [451.2, 360]
 [410.4, 363.6]
 [459.6, 160.8]
 [405.6, 170.4]
 [457.2, 142.8]
 [429.6, 152.4]
 [81.60001, 286.8]
 [34.8, 294]
 [80.4, 262.8]
 [24, 264]
 [144, 169.2]
 [133.2, 133.2]
 [120, 134.4]
 [520.8, 325.2]
 [513.6, 315.6]
 [484.8, 298.8]
 [530.4, 219.6]
 [499.2, 229.2]
 [525.6, 196.8]
 [481.2, 195.6]
 [530.4, 291.6]
 [472.8, 286.8]
 [531.6, 261.6]
 [488.4, 241.2]
 [460.8, 289.2]
 [424.8, 292.8]
 [466.8, 256.8]
 [404.4, 265.2]
 [57.6, 217.2]
 [56.4, 232.8]
 [57.6, 193.2]
 [42, 184.8]
 [518.4, 158.4]
 [471.6, 165.6]
 [511.2, 144]
 [505.2, 138]
 [368.4, 294]
 [355.2, 285.6]
 [367.2, 265.2]
 [339.6, 262.8]
 [388.8, 178.8]
 [357.6, 168]
 [375.6, 146.4]
 [352.8, 144]
 [57.6, 402]
