1.55698e+09 [572, 119]
 [576, 102]
 [553, 108]
 [264, 154]
 [258, 153]
 [251, 135]
 [37, 136]
 [33, 130]
 [91, 176]
 [60, 183]
 [87, 158]
 [228, 96]
 [225, 73]
 [220, 77]
 [438, 341]
 [462, 325]
 [444, 337]
 [534, 230]
 [519, 219]
 [464, 234]
 [448, 228]
 [454, 223]
 [445, 221]
 [196, 171]
 [200, 159]
 [183, 160]
 [212, 170]
 [239, 157]
 [215, 162]
 [150, 119]
 [148, 116]
 [155, 109]
 [143, 106]
 [164, 211]
 [157, 185]
 [605, 83]
 [589, 76]
 [312, 58]
 [301, 56]
 [299, 46]
 [190, 231]
 [185, 232]
 [187, 222]
 [184, 216]
 [232, 71]
 [235, 49]
 [453, 439]
 [452, 439]
 [226, 205]
 [224, 204]
 [210, 197]
 [306, 87]
 [298, 98]
 [316, 84]
 [340, 151]
 [324, 142]
 [347, 135]
 [327, 140]
 [111, 234]
 [94, 235]
 [129, 225]
 [355, 284]
 [343, 270]
 [336, 275]
 [499, 266]
 [488, 254]
 [495, 240]
 [481, 248]
 [172, 209]
 [203, 194]
 [171, 195]
 [228, 146]
 [219, 146]
 [132, 228]
 [163, 216]
 [142, 225]
 [339, 227]
 [338, 230]
 [339, 222]
 [325, 216]
 [379, 203]
 [371, 206]
 [362, 193]
 [350, 201]
 [335, 208]
 [348, 193]
 [335, 197]
 [385, 320]
 [369, 311]
 [377, 309]
 [373, 305]
 [114, 143]
 [96, 155]
 [124, 140]
 [332, 174]
 [341, 169]
 [331, 157]
 [143, 181]
 [152, 161]
 [144, 159]
 [453, 116]
 [438, 117]
 [453, 103]
 [450, 105]
 [431, 348]
 [406, 342]
 [416, 332]
 [414, 329]
 [181, 147]
 [244, 156]
 [239, 213]
 [289, 217]
 [277, 219]
 [291, 187]
 [28, 183]
 [66, 134]
 [113, 179]
 [70, 237]
 [84, 206]
 [50, 184]
 [247, 45]
 [289, 38]
 [259, 41]
 [221, 110]
 [248, 108]
 [247, 94]
 [37, 45]
 [90, 41]
 [142, 65]
 [94, 35]
 [32, 122]
 [54, 83]
 [52, 79]
 [134, 82]
 [92, 79]
 [546, 160]
 [489, 160]
 [587, 181]
 [585, 181]
 [594, 136]
 [495, 235]
 [532, 200]
 [507, 210]
 [571, 213]
 [562, 188]
 [369, 162]
 [364, 150]
 [454, 172]
 [437, 129]
 [403, 149]
 [381, 234]
 [410, 234]
 [450, 209]
 [515, 71]
 [479, 71]
 [593, 50]
 [602, 30]
 [538, 101]
 [475, 107]
 [512, 88]
 [497, 77]
 [581, 90]
 [328, 69]
 [370, 109]
 [325, 83]
 [412, 121]
 [416, 79]
 [307, 385]
 [317, 363]
 [250, 352]
 [224, 421]
 [266, 459]
 [289, 416]
 [166, 398]
 [155, 377]
 [92, 372]
 [310, 278]
 [295, 325]
 [264, 333]
 [319, 319]
 [265, 306]
 [56, 245]
 [29, 256]
 [114, 270]
 [135, 248]
 [98, 257]
 [159, 351]
 [106, 335]
 [127, 317]
 [476, 352]
 [589, 393]
 [575, 376]
 [547, 446]
 [473, 443]
 [609, 437]
 [565, 436]
 [610, 414]
 [460, 397]
 [392, 442]
 [347, 458]
 [453, 409]
 [496, 276]
 [517, 252]
 [617, 250]
 [562, 249]
 [478, 335]
 [473, 313]
 [360, 289]
 [391, 240]
 [340, 258]
 [423, 278]
 [403, 244]
 [393, 338]
 [332, 315]
 [470, 312]
 [396, 322]
 [241, 339]
 [304.8, 96]
 [298.8, 97.2]
 [315.6, 84]
 [337.2, 210]
 [333.6, 196.8]
 [157.2, 118.8]
 [147.6, 116.4]
 [142.8, 105.6]
 [436.8, 342]
 [460.8, 325.2]
 [442.8, 336]
 [571.2, 116.4]
 [570, 109.2]
 [553.2, 109.2]
 [537.6, 232.8]
 [523.2, 222]
 [349.2, 66]
 [327.6, 68.4]
 [339.6, 58.8]
 [337.2, 57.6]
 [604.8, 82.8]
 [597.6, 81.60001]
 [561.6, 248.4]
 [387.6, 259.2]
 [376.8, 262.8]
 [390, 240]
 [373.2, 244.8]
 [339.6, 282]
 [337.2, 282]
 [339.6, 268.8]
 [337.2, 278.4]
 [332.4, 174]
 [351.6, 160.8]
 [333.6, 170.4]
 [190.8, 229.2]
 [184.8, 231.6]
 [183.6, 216]
 [322.8, 145.2]
 [354, 133.2]
 [325.2, 140.4]
 [195.6, 171.6]
 [204, 160.8]
 [184.8, 159.6]
 [164.4, 210]
 [156, 188.4]
 [315.6, 63.6]
 [312, 57.6]
 [301.2, 55.2]
 [262.8, 152.4]
 [250.8, 135.6]
 [243.6, 156]
 [226.8, 146.4]
 [232.8, 142.8]
 [166.8, 216]
 [142.8, 224.4]
 [231.6, 208.8]
 [222, 202.8]
 [213.6, 198]
 [430.8, 348]
 [405.6, 342]
 [414, 328.8]
 [463.2, 234]
 [447.6, 228]
 [453.6, 223.2]
 [444, 219.6]
 [45.6, 134.4]
 [32.4, 130.8]
 [171.6, 208.8]
 [198, 190.8]
 [171.6, 193.2]
 [469.2, 118.8]
 [438, 117.6]
 [452.4, 115.2]
 [451.2, 104.4]
 [121.2, 146.4]
 [96, 154.8]
 [123.6, 140.4]
 [112.8, 138]
 [339.6, 230.4]
 [337.2, 229.2]
 [326.4, 212.4]
 [501.6, 261.6]
 [494.4, 240]
 [481.2, 248.4]
 [156, 182.4]
 [145.2, 181.2]
 [158.4, 158.4]
 [142.8, 159.6]
 [224.4, 421.2]
 [158.4, 351.6]
 [76.8, 372]
 [608.4, 388.8]
 [116.4, 252]
 [316.8, 363.6]
 [249.6, 351.6]
 [516, 73.2]
 [480, 68.4]
 [294, 324]
 [280.8, 346.8]
 [265.2, 315.6]
 [93.60001, 235.2]
 [81.60001, 199.2]
 [93.60001, 34.8]
 [459.6, 396]
 [428.4, 351.6]
 [164.4, 334.8]
 [105.6, 334.8]
 [127.2, 321.6]
 [481.2, 322.8]
 [472.8, 313.2]
 [235.2, 49.2]
 [394.8, 327.6]
 [387.6, 321.6]
 [434.4, 277.2]
 [415.2, 280.8]
 [402, 243.6]
 [288, 217.2]
 [249.6, 217.2]
 [388.8, 126]
 [332.4, 126]
 [358.8, 100.8]
 [342, 91.2]
 [584.4, 180]
 [549.6, 159.6]
 [595.2, 136.8]
 [446.4, 162]
 [436.8, 134.4]
 [231.6, 108]
 [219.6, 76.8]
 [451.2, 439.2]
 [397.2, 453.6]
 [452.4, 409.2]
 [475.2, 108]
 [512.4, 86.4]
 [496.8, 76.8]
 [69.60001, 244.8]
 [56.4, 244.8]
 [268.8, 105.6]
 [246, 91.2]
 [607.2, 436.8]
 [564, 433.2]
 [609.6, 414]
 [565.2, 430.8]
 [256.8, 162]
 [607.2, 250.8]
 [31.2, 121.2]
 [92.4, 79.2]
 [51.6, 79.2]
 [416.4, 78]
 [133.2, 84]
 [108, 81.60001]
 [517.2, 252]
 [489.6, 229.2]
 [531.6, 200.4]
 [495.6, 201.6]
 [88.8, 163.2]
 [26.4, 182.4]
 [87.60001, 156]
 [409.2, 234]
 [450, 210]
 [579.6, 90]
 [288, 38.4]
 [246, 44.4]
 [469.2, 312]
 [406.8, 312]
 [376.8, 204]
 [384, 270]
 [340.8, 259.2]
 [368.4, 162]
 [363.6, 150]
 [240, 157.2]
 [201.6, 156]
 [108, 234]
 [104.4, 184.8]
 [237.6, 212.4]
 [94.8, 175.2]
 [470.4, 444]
 [303.6, 280.8]
 [72, 454.8]
 [288, 408]
 [484.8, 159.6]
 [141.6, 64.8]
 [437.76, 341.28]
 [463.68, 325.44]
 [446.4, 332.64]
 [315.36, 66.24001]
 [312.48, 59.04]
 [300.96, 56.16]
 [604.8, 83.52]
 [597.6, 80.64]
 [463.68, 233.28]
 [447.84, 227.52]
 [453.6, 221.76]
 [443.52, 218.88]
 [227.52, 205.92]
 [220.32, 201.6]
 [213.12, 197.28]
 [151.2, 119.52]
 [156.96, 115.2]
 [145.44, 116.64]
 [99.36, 148.32]
 [122.4, 139.68]
 [112.32, 138.24]
 [164.16, 218.88]
 [144, 223.2]
 [339.84, 259.2]
 [344.16, 249.12]
 [430.56, 347.04]
 [406.08, 341.28]
 [413.28, 328.32]
 [408.96, 332.64]
 [498.24, 266.4]
 [488.16, 250.56]
 [480.96, 247.68]
 [267.84, 155.52]
 [262.08, 152.64]
 [254.88, 144]
 [440.64, 120.96]
 [450.72, 106.56]
 [442.08, 106.56]
 [240.48, 158.4]
